;	V3 text file written for MicroBrightField products.
(ImageCoords)

("User Line 1"
  (Color Cyan)
  (Closed)
  (Resolution 2.325572)
  ( 1063.63  -808.64    51.18     9.30)  ;  1, 1
  (  996.18  -831.90    51.18     9.30)  ;  1, 2
  (  979.91  -831.90    51.18     9.30)  ;  1, 3
  (  942.70  -834.22    51.18     9.30)  ;  1, 4
  (  935.72  -834.22    51.18     9.30)  ;  1, 5
  (  896.19  -841.20    51.18     9.30)  ;  1, 6
  (  877.58  -848.18    51.18     9.30)  ;  1, 7
  (  856.65  -852.83    51.18     9.30)  ;  1, 8
  (  824.09  -859.80    51.18     9.30)  ;  1, 9
  (  796.19  -869.11    51.18     9.30)  ;  1, 10
  (  777.58  -876.08    51.18     9.30)  ;  1, 11
  (  756.65  -880.73    51.18     9.30)  ;  1, 12
  (  735.72  -887.71    51.18     9.30)  ;  1, 13
  (  703.16  -892.36    51.18     9.30)  ;  1, 14
  (  682.23  -894.69    51.18     9.30)  ;  1, 15
  (  654.33  -897.01    51.18     9.30)  ;  1, 16
  (  635.72  -897.01    51.18     9.30)  ;  1, 17
  (  605.49  -915.62    51.18     9.30)  ;  1, 18
  (  582.24  -931.90    51.18     9.30)  ;  1, 19
  (  577.58  -931.90    51.18     9.30)  ;  1, 20
  (  540.38  -941.20    51.18     9.30)  ;  1, 21
  (  445.03  -973.76    51.18     9.30)  ;  1, 22
  (  393.87  -985.39    51.18     9.30)  ;  1, 23
  (  386.89  -987.71    51.18     9.30)  ;  1, 24
  (  352.01  -994.69    51.18     9.30)  ;  1, 25
  (  345.03  -997.01    51.18     9.30)  ;  1, 26
  (  310.15 -1006.32    51.18     9.30)  ;  1, 27
  (  300.84 -1006.32    51.18     9.30)  ;  1, 28
  (  249.68 -1017.94    51.18     9.30)  ;  1, 29
  (  226.43 -1022.59    51.18     9.30)  ;  1, 30
  (  214.80 -1022.59    51.18     9.30)  ;  1, 31
  (  198.52 -1027.25    51.18     9.30)  ;  1, 32
  (  175.26 -1031.90    51.18     9.30)  ;  1, 33
  (  161.31 -1036.55    51.18     9.30)  ;  1, 34
  (  138.05 -1041.20    51.18     9.30)  ;  1, 35
  (  124.10 -1043.52    51.18     9.30)  ;  1, 36
  (   96.19 -1043.52    51.18     9.30)  ;  1, 37
  (   84.57 -1043.52    51.18     9.30)  ;  1, 38
  (   70.61 -1043.52    51.18     9.30)  ;  1, 39
  (   42.71 -1043.52    51.18     9.30)  ;  1, 40
  (   28.75 -1043.52    51.18     9.30)  ;  1, 41
  (   -6.13 -1043.52    51.18     9.30)  ;  1, 42
  (  -20.08 -1045.85    51.18     9.30)  ;  1, 43
  (  -45.66 -1045.85    51.18     9.30)  ;  1, 44
  (  -80.55 -1048.18    51.18     9.30)  ;  1, 45
  ( -141.01 -1055.15    51.18     9.30)  ;  1, 46
  ( -159.62 -1055.15    51.18     9.30)  ;  1, 47
  ( -215.43 -1055.15    51.18     9.30)  ;  1, 48
  ( -252.64 -1052.83    51.18     9.30)  ;  1, 49
  ( -268.92 -1050.50    51.18     9.30)  ;  1, 50
  ( -289.85 -1036.55    51.18     9.30)  ;  1, 51
  ( -322.41 -1020.27    51.18     9.30)  ;  1, 52
  ( -334.03 -1017.94    51.18     9.30)  ;  1, 53
  ( -382.87 -1003.99    51.18     9.30)  ;  1, 54
  ( -396.82  -999.34    51.18     9.30)  ;  1, 55
  ( -408.45  -992.36    51.18     9.30)  ;  1, 56
  ( -459.61  -973.76    51.18     9.30)  ;  1, 57
  ( -482.87  -959.80    51.18     9.30)  ;  1, 58
  ( -545.66  -950.50    51.18     9.30)  ;  1, 59
  ( -568.91  -950.50    51.18     9.30)  ;  1, 60
  ( -585.19  -950.50    51.18     9.30)  ;  1, 61
  ( -624.73  -969.11    51.18     9.30)  ;  1, 62
  ( -643.33  -978.41    51.18     9.30)  ;  1, 63
  ( -645.66  -980.73    51.18     9.30)  ;  1, 64
  ( -682.87  -999.34    51.18     9.30)  ;  1, 65
  ( -708.45 -1008.64    51.18     9.30)  ;  1, 66
  ( -715.42 -1008.64    51.18     9.30)  ;  1, 67
  ( -768.91 -1024.92    51.18     9.30)  ;  1, 68
  ( -827.05 -1050.50    51.18     9.30)  ;  1, 69
  ( -885.19 -1064.45    51.18     9.30)  ;  1, 70
  ( -906.12 -1069.11    51.18     9.30)  ;  1, 71
  ( -922.40 -1073.76    51.18     9.30)  ;  1, 72
  ( -931.70 -1076.08    51.18     9.30)  ;  1, 73
  ( -957.28 -1080.73    51.18     9.30)  ;  1, 74
  ( -985.19 -1087.71    51.18     9.30)  ;  1, 75
  (-1050.30 -1120.27    51.18     9.30)  ;  1, 76
  (-1073.56 -1129.57    51.18     9.30)  ;  1, 77
  (-1125.00 -1155.42    51.18     9.30)  ;  1, 78
  (-1134.30 -1162.39    51.18     9.30)  ;  1, 79
  (-1150.58 -1174.02    51.18     9.30)  ;  1, 80
  (-1162.21 -1178.67    51.18     9.30)  ;  1, 81
  (-1183.14 -1192.62    51.18     9.30)  ;  1, 82
  (-1199.42 -1215.88    51.18     9.30)  ;  1, 83
  (-1218.02 -1236.81    51.18     9.30)  ;  1, 84
  (-1238.95 -1264.72    51.18     9.30)  ;  1, 85
  (-1245.93 -1269.37    51.18     9.30)  ;  1, 86
  (-1264.53 -1285.65    51.18     9.30)  ;  1, 87
  (-1283.14 -1299.60    51.18     9.30)  ;  1, 88
  (-1325.00 -1315.88    51.18     9.30)  ;  1, 89
  (-1350.58 -1325.18    51.18     9.30)  ;  1, 90
  (-1373.84 -1327.51    51.18     9.30)  ;  1, 91
  (-1392.44 -1332.16    51.18     9.30)  ;  1, 92
  (-1411.04 -1332.16    51.18     9.30)  ;  1, 93
  (-1427.32 -1332.16    51.18     9.30)  ;  1, 94
  (-1450.58 -1325.18    51.18     9.30)  ;  1, 95
  (-1473.83 -1311.23    51.18     9.30)  ;  1, 96
  (-1492.44 -1297.28    51.18     9.30)  ;  1, 97
  (-1499.42 -1292.62    51.18     9.30)  ;  1, 98
  (-1529.65 -1269.37    51.18     9.30)  ;  1, 99
  (-1550.58 -1255.42    51.18     9.30)  ;  1, 100
  (-1573.83 -1239.14    51.18     9.30)  ;  1, 101
  (-1601.74 -1220.53    51.18     9.30)  ;  1, 102
  (-1622.67 -1197.28    51.18     9.30)  ;  1, 103
  (-1655.23 -1169.37    51.18     9.30)  ;  1, 104
  (-1676.16 -1150.76    51.18     9.30)  ;  1, 105
  (-1685.46 -1139.14    51.18     9.30)  ;  1, 106
  (-1690.11 -1136.81    51.18     9.30)  ;  1, 107
  (-1720.34 -1106.58    51.18     9.30)  ;  1, 108
  (-1736.62 -1090.30    51.18     9.30)  ;  1, 109
  (-1743.60 -1078.67    51.18     9.30)  ;  1, 110
  (-1780.81 -1039.14    51.18     9.30)  ;  1, 111
  (-1806.39 -1011.23    51.18     9.30)  ;  1, 112
  (-1838.95  -964.72    51.18     9.30)  ;  1, 113
  (-1852.90  -946.11    51.18     9.30)  ;  1, 114
  (-1855.23  -939.14    51.18     9.30)  ;  1, 115
  (-1878.48  -894.95    51.18     9.30)  ;  1, 116
  (-1890.11  -874.02    51.18     9.30)  ;  1, 117
  (-1918.02  -839.14    51.18     9.30)  ;  1, 118
  (-1931.97  -813.56    51.18     9.30)  ;  1, 119
  (-1936.62  -799.60    51.18     9.30)  ;  1, 120
  (-1950.57  -764.72    51.18     9.30)  ;  1, 121
  (-1952.90  -753.09    51.18     9.30)  ;  1, 122
  (-1955.22  -743.79    51.18     9.30)  ;  1, 123
  (-1969.18  -701.93    51.18     9.30)  ;  1, 124
  (-1978.48  -685.65    51.18     9.30)  ;  1, 125
  (-1999.41  -627.51    51.18     9.30)  ;  1, 126
  (-2001.74  -622.86    51.18     9.30)  ;  1, 127
  (-2031.97  -571.70    51.18     9.30)  ;  1, 128
  (-2036.62  -557.74    51.18     9.30)  ;  1, 129
  (-2064.53  -490.30    51.18     9.30)  ;  1, 130
  (-2097.08  -434.49    51.18     9.30)  ;  1, 131
  (-2106.39  -415.88    51.18     9.30)  ;  1, 132
  (-2122.66  -353.09    51.18     9.30)  ;  1, 133
  (-2124.99  -346.12    51.18     9.30)  ;  1, 134
  (-2141.27  -318.21    51.18     9.30)  ;  1, 135
  (-2169.18  -274.02    51.18     9.30)  ;  1, 136
  (-2229.90  -179.04    51.18     9.30)  ;  1, 137
  (-2232.23  -174.38    51.18     9.30)  ;  1, 138
  (-2236.88  -174.38    51.18     9.30)  ;  1, 139
  (-2260.14  -123.22    51.18     9.30)  ;  1, 140
  (-2269.44   -83.69    51.18     9.30)  ;  1, 141
  (-2271.76   -67.41    51.18     9.30)  ;  1, 142
  (-2285.72    -2.29    51.18     9.30)  ;  1, 143
  (-2292.69    34.92    51.18     9.30)  ;  1, 144
  (-2299.67    67.47    51.18     9.30)  ;  1, 145
  (-2311.30   102.36    51.18     9.30)  ;  1, 146
  (-2327.58   146.54    51.18     9.30)  ;  1, 147
  (-2334.55   176.78    51.18     9.30)  ;  1, 148
  (-2341.53   225.61    51.18     9.30)  ;  1, 149
  (-2343.86   251.19    51.18     9.30)  ;  1, 150
  (-2353.16   297.71    51.18     9.30)  ;  1, 151
  (-2360.13   327.94    51.18     9.30)  ;  1, 152
  (-2374.09   381.43    51.18     9.30)  ;  1, 153
  (-2374.09   407.01    51.18     9.30)  ;  1, 154
  (-2378.74   437.24    51.18     9.30)  ;  1, 155
  (-2381.06   460.50    51.18     9.30)  ;  1, 156
  (-2392.69   507.01    51.18     9.30)  ;  1, 157
  (-2392.69   516.31    51.18     9.30)  ;  1, 158
  (-2395.02   516.31    51.18     9.30)  ;  1, 159
  (-2404.32   588.40    51.18     9.30)  ;  1, 160
  (-2451.10   834.58    51.18     9.30)  ;  1, 161
  (-2451.10   839.23    51.18     9.30)  ;  1, 162
  (-2472.03   913.65    51.18     9.30)  ;  1, 163
  (-2476.68   939.23    51.18     9.30)  ;  1, 164
  (-2481.33   957.83    51.18     9.30)  ;  1, 165
  (-2488.31   978.76    51.18     9.30)  ;  1, 166
  (-2502.26  1034.58    51.18     9.30)  ;  1, 167
  (-2509.24  1053.18    51.18     9.30)  ;  1, 168
  (-2520.87  1083.41    51.18     9.30)  ;  1, 169
  (-2523.19  1141.55    51.18     9.30)  ;  1, 170
  (-2523.19  1143.88    51.18     9.30)  ;  1, 171
  (-2523.19  1164.81    51.18     9.30)  ;  1, 172
  (-2527.84  1176.44    51.18     9.30)  ;  1, 173
  (-2541.80  1208.99    51.18     9.30)  ;  1, 174
  (-2548.77  1220.62    51.18     9.30)  ;  1, 175
  (-2558.08  1248.53    51.18     9.30)  ;  1, 176
  (-2560.40  1278.76    51.18     9.30)  ;  1, 177
  (-2562.73  1299.69    51.18     9.30)  ;  1, 178
  (-2567.38  1308.99    51.18     9.30)  ;  1, 179
  (-2581.33  1336.90    51.18     9.30)  ;  1, 180
  (-2583.66  1346.20    51.18     9.30)  ;  1, 181
  (-2588.31  1353.18    51.18     9.30)  ;  1, 182
  (-2599.94  1371.78    51.18     9.30)  ;  1, 183
  (-2604.59  1378.76    51.18     9.30)  ;  1, 184
  (-2609.24  1404.34    51.18     9.30)  ;  1, 185
  (-2611.56  1413.64    51.18     9.30)  ;  1, 186
  (-2625.52  1436.90    51.18     9.30)  ;  1, 187
